instruction,input,output
Edit the Python code to print the converted amounts in USD.,"def convert_currency(amount):
    output = amount * 1.20
    print(output)

convert_currency(15)","def convert_currency(amount):
    output = amount * 1.20
    print(f'{output:.2f} USD')

convert_currency(15)"
Sort this array of integers in descending order.,"[2, 5, 3, 8, 6, 1]","[8, 6, 5, 3, 2, 1]"
How would you traverse a binary tree?,,"There are several approaches to traversing a binary tree. One of the most common and simplest approaches is the depth-first search (DFS) algorithm. This algorithm visits all of the nodes of the binary tree, with a depth-first approach. The algorithm starts at the root node, examines the left subtree, then visits the root node again, then examines the right subtree, and finally, the algorithm performs a backtracking operation up the tree, searching for unexplored nodes. Another approach is the breadth-first search (BFS) algorithm, which visits all nodes of a binary tree in order of their levels, from left to right."
"Using the input class, create an instance of a 50-sided die.",,"class Die:
    def __init__(self, sides=6):
        self.sides = sides

die = Die(50)"
How would you encode a given string using Huffman coding?,,"Huffman coding is a type of lossless data compression in which characters and symbols are represented in the form of variable-length codes, allowing for efficient encoding of data. A Huffman tree is created for each string by assigning the lowest frequency character(s) to the left-most nodes and the highest frequency character(s) to the right-most nodes, which results in a tree with an optimal number of branches. The codes for each symbol are then produced from a path through the Huffman tree from the root to the corresponding nodes."
Edit the code below to make it more efficient.,"def get_combinations(string):
    combinations = set()
    for i in range(len(string)):
        for j in range(len(string)):
            if i != j:
                combinations.add(string[i] + string[j])
    return combinations","def get_combinations(string):
    combinations = set()
    for i in range(len(string)):
        for j in range(i + 1, len(string)):
            combinations.add(string[i] + string[j])
    return combinations"
"Assign a variable `pos` with the tuple (3,4)",,"pos = (3,4)"
Return the list of all prime numbers in the Fibonacci sequence less than given integer n,n = 50,"def primes_in_fibonacci_sequence(n): 
 
    # Create a list to store Fibonacci numbers 
    fibonacci = [1, 2] 

# To generate Fibonacci numbers less than given number
# Use general formula Fn = Fn-1 + Fn-2
    while (fibonacci[-1] + fibonacci[-2] < n): 
        fibonacci.append(fibonacci[-1] + fibonacci[-2]) 

# Lists to store prime numbers 
    primes = [2] 

# To check if number prime or not 
    for i in range(3, n, 2): 
        if i > n: 
            break
        for j in range(3, int(i ** 0.5) + 1, 2): 
            if i % j == 0: 
                break
        else: 
            primes.append(i) 

# Filter out fibonacci numbers that are prime 
    prime_in_fibonacci = [i for i in fibonacci if i in primes]
      
    return prime_in_fibonacci"
"Create a function that takes two numbers, x and y, and returns their sum",,"def add(x, y): 
    return x + y"
Remove duplicates from a given list,"list = [1,2,2,3,3,3,4,4,4,4]","def remove_duplicates(list): 
    return list(dict.fromkeys(list))"
Generate a list that contains the even numbers from 2 to 30,,"even_list = [i for i in range(2,31) if i % 2 == 0]"
Build a class that creates a chess board using turtle graphics,,"import turtle

class ChessBoard:
    def __init__(self, size):
        self.size = size
    
    def draw_board(self):
        # Setup the board
        window = turtle.Screen()
        window.setup(self.size, self.size)
        window.title('Chessboard')
        window.bgcolor('#000000')
        turtle.speed(0)
        turtle.penup
        turtle.setheading(90)

        # Draw the board squares
        for i in range(4):
            for j in range(4):
                turtle.penup()
                x = -self.size / 2 + j * self.size / 4
                y = -self.size / 2 + i * self.size / 4
                turtle.goto(x,y)

                # Alternate color for each square
                if (i+j) % 2 == 0:
                    turtle.fillcolor('#FFFFFF')
                else:
                    turtle.fillcolor('#000000')

                turtle.begin_fill()
                turtle.pendown()
                turtle.forward(self.size / 4)
                turtle.right(90)
                turtle.forward(self.size / 4)
                turtle.right(90)
                turtle.forward(self.size / 4)
                turtle.right(90)
                turtle.forward(self.size / 4)
                turtle.right(90)
                turtle.end_fill()"
Reverse the following string using slicing,"string = ""Hello World!""","string = ""Hello World!""
string = string[::-1]"
Write a code that implements Merge Sort,,"def merge_sort(arr): 
    if len(arr) > 1: 
        mid = len(arr)//2   
        leftvar = arr[:mid]  
        rightvar = arr[mid:] 
  
        merge_sort(leftvar)  
        merge_sort(rightvar)  
  
        i = j = k = 0
          
        while i < len(leftvar) and j < len(rightvar): 
            if leftvar[i] < rightvar[j]: 
                arr[k] = leftvar[i] 
                i+=1
            else: 
                arr[k] = rightvar[j] 
                j+=1
            k+=1
          
        while i < len(leftvar): 
            arr[k] = leftvar[i] 
            i+=1
            k+=1
          
        while j < len(rightvar): 
            arr[k] = rightvar[j] 
            j+=1
            k+=1"
"Create a function that takes list margin as an argument, and returns a total of that list","list = [1,2,3,4,5]","def list_sum(list):
    total = 0
    for i in list:
        total += i
    return total"
Create a class in python that defines and tracks an employees pay,,"class Employee:
    def __init__(self, name, rate, hours):
        self.name = name
        self.rate = rate
        self.hours = hours
        
    def pay(self):
        return self.rate * self.hours"
Write a Java program to search an element in a sorted array.,"arr = [1, 2, 3, 4, 5]
element = 3","""""""
Search an element in a sorted array.
""""""

public class ArraySearch {
 
  public static int searchSortedArray(int[] arr, int element) {
    int lower = 0;
    int upper = arr.length - 1;
    
    while (lower <= upper) {
      int midpoint = (lower + upper) / 2;
      
      if (arr[midpoint] == element) {
        return midpoint;
      } else if (arr[midpoint] < element) {
        lower = midpoint + 1;
      } else {
        upper = midpoint - 1;
      }
    }
    return -1;
  }
 
  public static void main(String[] args) {
    int[] arr = {1, 2, 3, 4, 5};
    int element = 3;
    int index = searchSortedArray(arr, element);
    
    if (index >= 0) {
      System.out.println(""Element "" + element + "" is present at index "" + index);
    } else {
      System.out.println(""Element "" + element + "" is not present"");
    }
  }
}"
Rewrite the following code snippet in Python.,"int num1 = 5;
int num2 = 6;
int sum = num1 + num2;","num1 = 5
num2 = 6
sum = num1 + num2"
Complete the code snippet to add two lists together in Python.,"list1 = [1,2,3]
list2 = [4,5,6]
#Code to add list1 to list2","list1 = [1,2,3]
list2 = [4,5,6]
#Code to add list1 to list2
new_list = list1 + list2"
"Write a code to add two numbers without using the ""+"" operator.","num1 = 5
num2 = 6","num1 = 5
num2 = 6

# Without using ""+"" operator
sum = num1 - (-num2)"
"Using a for a loop, write a code to print all the items in a given list.","myList = [1, 2, 3, 4]","myList = [1, 2, 3, 4]

# Using a for loop
for item in myList:
  print(item)"
"Create a MySQL table called ""customers"" with the following columns: Customer ID, Name, City, and Country.",,"CREATE TABLE customers (
  customer_id INT PRIMARY KEY AUTO_INCREMENT,
  name VARCHAR(255),
  city VARCHAR(255),
  country VARCHAR(255)
);"
Convert the following SELECT statement from SQL to MongoDB.,SELECT * FROM students;,db.students.find()
Change the following function to make it recursive.,"def add_numbers(a, b):
    return a+b","def add_numbers(a, b):
    if a == 0:
        return b
    else:
        return add_numbers(a-1, b+1)"
Edit the following code to make it run with Python 3.,"import sys

# print ""Hello World""","import sys

# print ""Hello World""
print(""Hello World"")"
Write a JavaScript function to delete the third element of an array.,"let arr = [1,2,3,4,5]","let arr = [1,2,3,4,5]

function deleteThirdElement(arr) {
  arr.splice(2, 1); 
  return arr;
}

let newArr = deleteThirdElement(arr);

console.log(newArr); // [1,2,4,5]"
Convert the following SQL query to Java.,"SELECT name
FROM customers
WHERE city = 'San Francisco'","String query = ""SELECT name FROM customers WHERE city = 'San Francisco'"";

Statement stmt = conn.createStatement();
ResultSet result = stmt.executeQuery(query);
while (result.next()) {
    String name = result.getString(""name"");
    System.out.println(name);
}"
"Using regex, write a code to extract the substring ""abc"" from the following string.",myString = 'abc123',"myString = 'abc123'

import re 

substring = re.search('abc', myString).group()
print(substring) # abc"
"Using a while loop, write a code to print the numbers from 1 to 10.",,"# Using a while loop
i = 1
while i <= 10:
  print(i)
  i = i + 1"
Create a Python function that takes two integers as input and returns the maximum of the two.,"a = 4 
b = 8","def max_number(a, b):
  if a > b:
    return a
  else:
    return b"
"Write a SQL query to list the first names, last names and ages of all users in the table.",,"SELECT first_name, last_name, age
FROM user_table;"
Construct a regular expression to validate a phone number.,,^\(?[0-9]{3}\)?[-. ]?[0-9]{3}[-. ]?[0-9]{4}$
Write a JavaScript code snippet to display an alert and ask for a user's age.,,alert('What is your age?');
Generate a program in Java which searches for a particular item in an array and returns true if it exists.,"int[] numbers = {2, 3, 5, 7, 11, 13, 17, 19}; 
int key = 5","public static boolean searchArray(int[] arr, int key) {
   for(int i = 0; i < arr.length; i++) {
      if(arr[i] == key) {
         return true;
      }
   }
   return false;
}"
